TxnID,TxnDate,Store,SKU,Category,Brand,UnitsSold,OnHandStock,UnitCost,UnitPrice,Revenue,DaysOfCover,LowStockFlag,
900000,2024-09-17,Store-09,SKU-01418,Snacks,Aster,3,28,181.75,290.87,872.61,9.33,0,
900001,2024-12-23,Store-22,SKU-00904,Grocery,FreshCo,6,249,189.11,257.69,1546.14,41.50,0,
900002,2024-11-18,Store-24,SKU-01693,Grocery,BlueBay,1,35,21.76,28.55,28.55,35.00,0,
900003,2024-10-28,Store-19,SKU-00061,Beverages,BlueBay,5,174,43.59,61.95,309.75,34.80,0,
900004,2024-08-03,Store-08,SKU-00935,Home,Urban,1,17,69.57,104.16,104.16,17.00,0,
900005,2024-08-03,Store-09,SKU-01022,Personal Care,FreshCo,6,165,23.69,43.15,258.90,27.50,0,
900006,2024-07-13,Store-07,SKU-00919,Beverages,Peak,4,250,14.67,20.42,81.68,62.50,0,
900007,2024-12-10,Store-04,SKU-00328,Grocery,Aster,2,173,217.76,304.94,609.88,86.50,0,
900008,2024-10-28,Store-22,SKU-00895,Grocery,Aster,6,106,122.18,172.48,1034.88,17.67,0,
900009,2024-11-14,Store-16,SKU-00168,Personal Care,FreshCo,1,145,151.76,275.97,275.97,145.00,0,
900010,2024-07-05,Store-06,SKU-00358,Snacks,FreshCo,3,90,130.01,203.83,611.49,30.00,0,
900011,2024-12-27,Store-18,SKU-01559,Personal Care,Aster,4,185,11.38,20.34,81.36,46.25,0,
900012,2024-12-04,Store-02,SKU-01083,Personal Care,Urban,4,8,147.34,245.46,981.84,2.00,1,
900013,2024-08-15,Store-11,SKU-01458,Grocery,FreshCo,4,27,68.66,94.13,376.52,6.75,1,
900014,2024-08-09,Store-05,SKU-00868,Personal Care,FreshCo,3,42,153.48,264.29,792.87,14.00,0,
900015,2024-08-09,Store-17,SKU-00683,Personal Care,BlueBay,3,92,139.54,254.12,762.36,30.67,0,
900016,2024-09-03,Store-05,SKU-00084,Grocery,Urban,7,100,164.95,211.83,1482.81,14.29,0,
900017,2024-10-15,Store-03,SKU-00248,Grocery,Urban,3,255,83.41,107.03,321.09,85.00,0,
900018,2024-09-28,Store-19,SKU-00826,Home,Aster,2,134,73.62,114.99,229.98,67.00,0,
900019,2024-08-31,Store-08,SKU-01520,Grocery,FreshCo,1,102,93.02,122.70,122.70,102.00,0,
900020,2024-10-30,Store-11,SKU-01022,Grocery,Aster,3,36,172.48,217.13,651.39,12.00,0,
900021,2024-07-31,Store-03,SKU-01420,Beverages,Nova,3,76,133.65,203.79,611.37,25.33,0,
900022,2024-08-31,Store-03,SKU-00932,Beverages,Aster,2,182,130.38,193.47,386.94,91.00,0,
900023,2024-09-15,Store-01,SKU-00969,Home,Aster,1,258,56.16,87.11,87.11,258.00,0,
900024,2024-10-02,Store-24,SKU-00481,Personal Care,Urban,4,71,101.88,180.58,722.32,17.75,0,
900025,2024-11-27,Store-13,SKU-00646,Snacks,BlueBay,3,83,211.84,349.63,1048.89,27.67,0,
900026,2024-08-12,Store-10,SKU-01312,Snacks,Aster,1,225,86.81,134.09,134.09,225.00,0,
900027,2024-10-13,Store-06,SKU-00193,Beverages,BlueBay,1,213,121.58,164.99,164.99,213.00,0,
900028,2024-10-27,Store-11,SKU-01724,Grocery,Peak,3,221,107.05,143.04,429.12,73.67,0,
900029,2024-07-11,Store-08,SKU-00438,Grocery,Aster,3,250,156.72,210.11,630.33,83.33,0,
900030,2024-10-29,Store-19,SKU-00500,Home,Urban,3,229,96.20,142.13,426.39,76.33,0,
900031,2024-08-06,Store-11,SKU-00152,Beverages,Nova,3,53,71.02,105.57,316.71,17.67,0,
900032,2024-07-15,Store-06,SKU-00669,Home,Urban,6,250,111.25,175.67,1054.02,41.67,0,
900033,2024-12-23,Store-12,SKU-01544,Personal Care,Urban,2,75,101.34,188.56,377.12,37.50,0,
900034,2024-12-26,Store-18,SKU-00269,Snacks,BlueBay,1,142,145.81,229.03,229.03,142.00,0,
900035,2024-11-30,Store-03,SKU-00575,Snacks,Peak,2,245,216.46,331.91,663.82,122.50,0,
